State-Based DQN Training
Started: 2025-11-25 14:31:14.416881
================================================================================

Episode 74: Score=50, Reward=45.85, Steps=86, Loss=0.9118, ε=0.9325
Episode 75: Score=50, Reward=-5.00, Steps=1, Loss=1.1942, ε=0.9325
Episode 76: Score=43, Reward=38.62, Steps=63, Loss=1.0942, ε=0.9312
Episode 77: Score=43, Reward=-5.00, Steps=1, Loss=3.0046, ε=0.9312
Episode 78: Score=59, Reward=53.80, Steps=81, Loss=0.9022, ε=0.9296
Episode 79: Score=50, Reward=45.82, Steps=83, Loss=1.0703, ε=0.9280
Episode 80: Score=50, Reward=-5.00, Steps=1, Loss=0.4531, ε=0.9279
Episode 81: Score=43, Reward=38.60, Steps=61, Loss=1.0765, ε=0.9267
Episode 82: Score=43, Reward=-5.00, Steps=1, Loss=0.3465, ε=0.9267
Episode 83: Score=43, Reward=38.59, Steps=60, Loss=1.0358, ε=0.9255
Episode 84: Score=42, Reward=37.72, Steps=73, Loss=1.0586, ε=0.9241
Episode 85: Score=76, Reward=71.11, Steps=112, Loss=0.9240, ε=0.9219
Episode 86: Score=76, Reward=-5.00, Steps=1, Loss=0.5001, ε=0.9218
Episode 87: Score=42, Reward=36.53, Steps=54, Loss=0.9319, ε=0.9208
Episode 88: Score=42, Reward=-5.00, Steps=1, Loss=0.6172, ε=0.9208
Episode 89: Score=52, Reward=46.69, Steps=70, Loss=1.2126, ε=0.9194
Episode 90: Score=52, Reward=-5.00, Steps=1, Loss=0.4646, ε=0.9194
Episode 91: Score=43, Reward=38.58, Steps=59, Loss=1.0938, ε=0.9182
Episode 92: Score=44, Reward=38.73, Steps=74, Loss=1.0351, ε=0.9167
Episode 93: Score=44, Reward=-5.00, Steps=1, Loss=1.4544, ε=0.9167
Episode 94: Score=59, Reward=54.84, Steps=85, Loss=1.0204, ε=0.9150
Episode 95: Score=59, Reward=-5.00, Steps=1, Loss=1.8262, ε=0.9150
Episode 96: Score=43, Reward=38.57, Steps=58, Loss=1.0427, ε=0.9139
Episode 97: Score=43, Reward=-5.00, Steps=1, Loss=1.7406, ε=0.9138
Episode 98: Score=67, Reward=62.82, Steps=83, Loss=1.2463, ε=0.9122
Episode 99: Score=67, Reward=-5.00, Steps=1, Loss=1.6120, ε=0.9122

================================================================================
Training ended: 2025-11-25 14:37:31.953539
Best score: 78
Total steps: 4458
